map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,featured,bar,food,lessons,leagues,24hrs,bays,Notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug
https://www.google.ca/maps/place/GOLFTEC+Calgary+Blackfoot/data=!4m7!3m6!1s0x537176873aa5e62f:0x1aa72dd30740d098!8m2!3d50.9745893!4d-114.0443642!16s%2Fg%2F11b6bd_c03!19sChIJL-alOod2cVMRmNBAB9Mtpxo?authuser=0&hl=en&rclk=1,GOLFTEC Calgary Blackfoot,4,-24,Golf instructor,8838 Blackfoot Trl SE Suite 117,,,,,,,,,,,,,,,"""I found the technology and the instruction at Golftec perfect for my needs.""",,,,,,,,
https://www.google.ca/maps/place/Golfzon+South+Indoor+Virtual+Golf+Lounge/data=!4m7!3m6!1s0x53a018b49e008fa9:0x344e03f4f1e3bae8!8m2!3d53.4923768!4d-113.4914036!16s%2Fg%2F1ptxqbq5x!19sChIJqY8AnrQYoFMR6Lrj8fQDTjQ?authuser=0&hl=en&rclk=1,Golfzon South Indoor Virtual Golf Lounge,4.6,-104,Indoor golf course,5431 Gateway Blvd NW,,,,,,,,,,,,,,,"""Private rooms, the awesome self serve coolers and friendly staff.""",,,,,,,,
https://www.google.ca/maps/place/Golfzon+West/data=!4m7!3m6!1s0x53a02141e99331a5:0x14c6e3458d6049ea!8m2!3d53.5593315!4d-113.586522!16s%2Fg%2F11cjj0jlhm!19sChIJpTGT6UEhoFMR6klgjUXjxhQ?authuser=0&hl=en&rclk=1,Golfzon West,4.4,-132,Indoor golf course,15354 111 Ave NW,,,,,,,,,,,,,,,"""Love the automatic ball setter and the technology in your private room.""",,,,,,,,
https://www.google.ca/maps/place/Golfzone+-+Eat~Drink~Play/data=!4m7!3m6!1s0x53745555c93b10e3:0x203b49e4de2728ff!8m2!3d52.2868279!4d-113.8509023!16s%2Fg%2F11rcw4yvl2!19sChIJ4xA7yVVVdFMR_ygn3uRJOyA?authuser=0&hl=en&rclk=1,Golfzone - Eat~Drink~Play,4.7,-81,Indoor golf course,6852 66 St Unit 1201,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/GTR+Golf+Calgary/data=!4m7!3m6!1s0x537165bd009b893d:0x49adc46ce583df7a!8m2!3d51.0805014!4d-113.9896402!16s%2Fg%2F11pd7pn5vp!19sChIJPYmbAL1lcVMRet-D5WzErUk?authuser=0&hl=en&rclk=1,GTR Golf Calgary,4.6,-39,Indoor golf course,3181 32 St NE #8,,,,,,,,,,,,,,,"""The facility is very well kept, comfortable and spacious.""",,,,,,,,
https://www.google.ca/maps/place/Hawks+Alley/data=!4m7!3m6!1s0x53745563aeceaa2f:0xa3d8591a3aeeacd9!8m2!3d52.2634558!4d-113.8401472!16s%2Fg%2F11sbd8xc5n!19sChIJL6rOrmNVdFMR2azuOhpZ2KM?authuser=0&hl=en&rclk=1,Hawks Alley,,,Golf instructor,4500 Fountain Dr,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/High+Level+Indoor+Golf/data=!4m7!3m6!1s0x53c08351bbec5ffd:0x156e0f34411f4f52!8m2!3d58.5185675!4d-117.1298089!16s%2Fg%2F11cs3n8kbw!19sChIJ_V_su1GDwFMRUk8fQTQPbhU?authuser=0&hl=en&rclk=1,High Level Indoor Golf,4.8,-5,Indoor golf course,9904 100 Ave,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Hitz+Sportscentre/data=!4m7!3m6!1s0x53719730a079fb7f:0xed2927a108fd03a5!8m2!3d50.6995506!4d-113.9018783!16s%2Fg%2F11cn97bmmh!19sChIJf_t5oDCXcVMRpQP9CKEnKe0?authuser=0&hl=en&rclk=1,Hitz Sportscentre,4.7,-141,Indoor golf course,64062 393 Ave E,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Hooplas+Family+Entertainment+Centre/data=!4m7!3m6!1s0x53132ce7e4ba3dad:0xb0fca65622a005fc!8m2!3d50.0327756!4d-110.7116298!16s%2Fg%2F11bvv4w1j7!19sChIJrT265OcsE1MR_AWgIlam_LA?authuser=0&hl=en&rclk=1,Hooplas Family Entertainment Centre,4.5,-140,Miniature golf course,1072 7th St SW,,,,,,,,,,,,,,,"""The courses range in skill levels, from easy to slightly challenging.""",,,,,,,,
https://www.google.ca/maps/place/Indoor+Golf+Canada+Head+office/data=!4m7!3m6!1s0x5371713299a48291:0x74058dd4842e5552!8m2!3d51.0055255!4d-114.0564125!16s%2Fg%2F11vds9w5ql!19sChIJkYKkmTJxcVMRUlUuhNSNBXQ?authuser=0&hl=en&rclk=1,Indoor Golf Canada Head office,,,Indoor golf course,5510 3 St SE #5,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/JJ+Golf/data=!4m7!3m6!1s0x5371712f0d456599:0x85be070b4eb2ea5!8m2!3d50.9835406!4d-114.0693157!16s%2Fg%2F11syf67wps!19sChIJmWVFDS9xcVMRpS7rtHDgWwg?authuser=0&hl=en&rclk=1,JJ Golf,4.9,-201,Indoor golf course,7825 Flint Rd SE,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/K+INDOOR+GOLF/data=!4m7!3m6!1s0x53716932218a4bc9:0x6dfb6bdb13aaf03f!8m2!3d51.1585363!4d-114.158599!16s%2Fg%2F11qh8r2mcj!19sChIJyUuKITJpcVMRP_CqE9tr-20?authuser=0&hl=en&rclk=1,K INDOOR GOLF,4.9,-177,Indoor golf course,11850 Sarcee Trail NW,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Kootenay+Indoor+Golf/data=!4m7!3m6!1s0x5364d993db4f4303:0x1aa8d4cf4575466f!8m2!3d49.5184482!4d-115.7601814!16s%2Fg%2F11p5q1xcdz!19sChIJA0NP25PZZFMRb0Z1Rc_UqBo?authuser=0&hl=en&rclk=1,Kootenay Indoor Golf,4.7,-17,Indoor golf course,600 Cranbrook St N,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/LaunchPad+Golf+Heritage+Pointe/data=!4m7!3m6!1s0x53719db83bc6938d:0x457f768c38d85e1c!8m2!3d50.8403857!4d-113.9869042!16s%2Fg%2F11n08mbdgs!19sChIJjZPGO7idcVMRHF7YOIx2f0U?authuser=0&hl=en&rclk=1,LaunchPad Golf Heritage Pointe,4.7,"-1,702",Indoor golf course,31 Heritage Pointe Dr,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/LaunchPad+Golf+Mickelson+National/data=!4m7!3m6!1s0x53716ba4349f6ff5:0xf21539289070d1e3!8m2!3d51.118931!4d-114.3846375!16s%2Fg%2F11nnvhl0x9!19sChIJ9W-fNKRrcVMR49FwkCg5FfI?authuser=0&hl=en&rclk=1,LaunchPad Golf Mickelson National,4.7,"-1,017",Indoor golf course,34133 E Harmony Cir,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Luxe+Golf/data=!4m7!3m6!1s0x536e87b999cc76ad:0x31219110a3173abd!8m2!3d49.7023516!4d-112.8288461!16s%2Fg%2F11sbq7jvp7!19sChIJrXbMmbmHblMRvToXoxCRITE?authuser=0&hl=en&rclk=1,Luxe Golf,4.6,-41,Indoor golf course,220 12a St N,,,,,,,,,,,,,,,"""Great facilities, super clean, and amazing friendly staff!""",,,,,,,,
https://www.google.ca/maps/place/LUXE+Indoor+Golf/data=!4m7!3m6!1s0x53a019b79f6aeef5:0xe6bc7aa548babab5!8m2!3d53.4845502!4d-113.4869215!16s%2Fg%2F11s4bxqqp5!19sChIJ9e5qn7cZoFMRtbq6SKV6vOY?authuser=0&hl=en&rclk=1,LUXE Indoor Golf,4.7,-91,Indoor golf course,4612 99 St NW,,,,,,,,,,,,,,,"""Great simulators,  spacious rooms,  very good price""",,,,,,,,
