map_url,Name,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,FQ2IWe src,ah5Ghc,W4Efsd 5,doJOZc,W4Efsd 6,Jn12ke src
https://www.google.ca/maps/place/Simply+Golf/data=!4m7!3m6!1s0x4b5c1d69a5e4fc31:0xa70cc9d22894b211!8m2!3d45.5527467!4d-62.6900685!16s%2Fg%2F11vk9fx9r9!19sChIJMfzkpWkdXEsREbKUKNLJDKc?authuser=0&hl=en&rclk=1,Simply Golf,5,-10,Indoor golf course,·,,1269 Drummond Rd,,Closed,⋅ Opens 9 a.m. Tue,https://lh5.googleusercontent.com/p/AF1QipNF6TFcFVwJA4K0OfT_Yw8ImaGLpppv8iEVL0P_=w122-h92-k-no,"""Great location and very good golf simulators""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Sonny%27s+Driving+Range+%26+Training/data=!4m7!3m6!1s0x4cae48b5e7be2a6b:0xd46d9da0a7c050fa!8m2!3d44.6792602!4d-68.8657379!16s%2Fg%2F1tcz7y55!19sChIJayq-57VIrkwR-lDAp6CdbdQ?authuser=0&hl=en&rclk=1,Sonny's Driving Range & Training,4.7,-27,Golf driving range,·,·,Closed,https://lh5.googleusercontent.com/p/AF1QipPkb0mIIxm7fK5166YgN8A2jmMmO_oOQfIy3e_b=w122-h92-k-no,"""Fun, comfortable, and reasonable pricing.""",⋅ Opens 8 a.m. Wed,,130 Cove Rd,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/SPADE+MASHIE/data=!4m7!3m6!1s0x4b5a23a54effffff:0x8f219ffd53fa201a!8m2!3d44.6493164!4d-63.5439907!16s%2Fg%2F11vyxqm_0r!19sChIJ____TqUjWksRGiD6U_2fIY8?authuser=0&hl=en&rclk=1,SPADE MASHIE,4.8,-19,Indoor golf course,·,·,Open,https://lh5.googleusercontent.com/p/AF1QipNYbHHjNColeMACyMFCmPJHzecMYC6bodG_DmWX=w122-h92-k-no,Onsite services,,⋅ Closes 12 a.m.,,375 Pleasant St Suite 200
https://www.google.ca/maps/place/Swing+Circuit+Golf+Simulators+Inc./data=!4m7!3m6!1s0x4b58513c15656557:0x7be4539a41e81093!8m2!3d45.0671407!4d-64.5663457!16s%2Fg%2F11w4m8nfjm!19sChIJV2VlFTxRWEsRkxDoQZpT5Hs?authuser=0&hl=en&rclk=1,Swing Circuit Golf Simulators Inc.,4.3,-23,Indoor golf course,·,1562 Newcombe Blvd,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipN7PTtU6UO5lHTJxSpJc3BCpC-5f3bqCWbB4ebo=w138-h92-k-no,"""Love that it’s 24/7 and that I can play my favourite courses.""",,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Swing+In+Golf+Lounge/data=!4m7!3m6!1s0x4ca0be9b56a8bc67:0xe92627e814bce338!8m2!3d46.1190741!4d-64.7194407!16s%2Fg%2F11c31njb0s!19sChIJZ7yoVpu-oEwROOO8FOgnJuk?authuser=0&hl=en&rclk=1,Swing In Golf Lounge,4.6,-16,Indoor golf course,·,1155 Shediac Rd #103,Open,https://lh5.googleusercontent.com/p/AF1QipP0amra5EvOrFI2CGLF7s8jNGceWuglQQj0Oduu=w80-h106-k-no,,⋅ Closes 10 p.m.,,,
https://www.google.ca/maps/place/Tee+Box/data=!4m7!3m6!1s0x4b0ca74474b01275:0xce8b26ff95986da5!8m2!3d47.561672!4d-52.746295!16s%2Fg%2F11fnrt4kh5!19sChIJdRKwdESnDEsRpW2Ylf8mi84?authuser=0&hl=en&rclk=1,Tee Box,5,-42,Indoor golf course,·,,·,340 Freshwater Rd,Open,⋅ Closes 11 p.m.,https://lh5.googleusercontent.com/p/AF1QipM9mUFFHKAIxPiVxD7Vf2EYUwqcztkJ9Tr8NCe_=w122-h92-k-no,Onsite services,
https://www.google.ca/maps/place/The+Boardwalk+Magnetic+Hill/data=!4m7!3m6!1s0x4ca0c129ae38b2bd:0x8ef7eb74c2a455be!8m2!3d46.1346054!4d-64.889328!16s%2Fg%2F1tl8k9fh!19sChIJvbI4rinBoEwRvlWkwnTr944?authuser=0&hl=en&rclk=1,The Boardwalk Magnetic Hill,4.2,-568,Golf driving range,·,2800 Mountain Rd,,https://lh5.googleusercontent.com/p/AF1QipO21xqcGXYCuydcZesoHqhaFHenBm02SpXSkcTF=w80-h106-k-no,Onsite services,,,2800 Mountain Rd,
https://www.google.ca/maps/place/The+Bunker/data=!4m7!3m6!1s0x4ca0b969037f1db7:0xfac8ade749855e71!8m2!3d46.0874019!4d-64.782931!16s%2Fg%2F11vldxdld6!19sChIJtx1_A2m5oEwRcV6FSeetyPo?authuser=0&hl=en&rclk=1,The Bunker,4.4,-62,Indoor golf course,·,961 Main St,Open,https://lh5.googleusercontent.com/p/AF1QipO7bxeLckUhLhMhF51H6hMyt6jtiwhHl7tlVtLS=w163-h92-k-no,Dine-in,⋅ Closes 11 p.m.,,961 Main St,
https://www.google.ca/maps/place/The+Sand+Trap+Indoor+Golf+Simulator/data=!4m7!3m6!1s0x4b56110f7ee46e63:0x4be37ac89d670cb3!8m2!3d43.8364926!4d-66.1197412!16s%2Fg%2F11w_v9dmyg!19sChIJY27kfg8RVksRswxnnch640s?authuser=0&hl=en&rclk=1,The Sand Trap Indoor Golf Simulator,,,Indoor golf course,·,353 Main St,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oweC4Oo4XRvcAnX3CeVPRg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=94.67137&pitch=0&thumbfov=100,,,,,
https://www.google.ca/maps/place/The+Sports+Arena/data=!4m7!3m6!1s0x4cae4af1621c13d5:0x5f817cec42d00837!8m2!3d44.7937931!4d-68.8415855!16s%2Fg%2F1tdrdzfk!19sChIJ1RMcYvFKrkwRNwjQQux8gV8?authuser=0&hl=en&rclk=1,The Sports Arena,4.1,-723,Miniature golf course,·,·,Closed,https://lh5.googleusercontent.com/p/AF1QipOuJWOUvLjm9tPpCEGpfdwvJ6vDtzG-GUtsIBnC=w80-h106-k-no,"""... friendly- music, video games for prizes, pool, bowling,",⋅ Opens 5 p.m. Tue,,1640 Hammond St,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/The+Trap/data=!4m7!3m6!1s0x4b5c5b203c07795f:0x7c02892c3f1afcca!8m2!3d45.6326484!4d-61.9295551!16s%2Fg%2F11y81z7wtv!19sChIJX3kHPCBbXEsRyvwaPyyJAnw?authuser=0&hl=en&rclk=1,The Trap,5,-1,Indoor golf course,·,730 Williams Point Rd,730 Williams Point Rd,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipMZanB6K2rItG3SDdqFllUe7KBb2ZPBy4k5ZC2V=w92-h92-k-no,,
https://www.google.ca/maps/place/T-off+Indoor+Golf/data=!4m7!3m6!1s0x4ca9d7f6689da139:0x99d1faca374318af!8m2!3d44.1906177!4d-66.1638343!16s%2Fg%2F11jzwv0t2y!19sChIJOaGdaPbXqUwRrxhDN8r60Zk?authuser=0&hl=en&rclk=1,T-off Indoor Golf,5,-3,Indoor golf course,·,63 Peter Dugas Rd,Open,https://lh5.googleusercontent.com/p/AF1QipPbfTKbVKxV4RFaLFDZTAeS1acxVjSVI-u1IwNe=w80-h142-k-no,,⋅ Closes 11:30 p.m.,,,
https://www.google.ca/maps/place/Top+Shots+Golf/data=!4m7!3m6!1s0x4ca7b33ee516a7bb:0x7614c0377693f21d!8m2!3d45.3005527!4d-66.0365098!16s%2Fg%2F11p67grbbb!19sChIJu6cW5T6zp0wRHfKTdjfAFHY?authuser=0&hl=en&rclk=1,Top Shots Golf,4.7,-40,Indoor golf course,·,370 Rothesay Ave,Open,https://lh5.googleusercontent.com/p/AF1QipORu6QxtUzosa1loBG8WvFs7eSa0xsKLmX6Pcfa=w92-h92-k-no,,⋅ Closes 10 p.m.,,370 Rothesay Ave,
